r,theoretical,observed_1,simulation_mean_1,simulation_low_1,simulation_high_1,observed_2,simulation_mean_2,simulation_low_2,simulation_high_2,observed_3,simulation_mean_3,simulation_low_3,simulation_high_3,observed_4,simulation_mean_4,simulation_low_4,simulation_high_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.00785398163397448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.0314159265358979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.0706858347057704,0,0,0,0,0,0,0,0,0,1.024,0,3.2,0,0,0,0
0.2,0.125663706143592,0,0,0,0,0,0,0,0,0,2.112,0,6.4,0,0,0,0
0.25,0.196349540849362,0,0,0,0,0,0,0,0,0,3.904,0,9.6,0,0,0,0
0.3,0.282743338823081,0,0,0,0,0,0,0,0,0,3.904,0,9.6,0,0,0,0
0.35,0.38484510006475,0,0,0,0,3.2,0.832,0,3.2,0,4.832,0,12.8,0,0,0,0
0.4,0.502654824574367,0,0,0,0,9.6,2.784,0,6.4,0,5.664,0,12.8,0,0,0,0
0.45,0.636172512351933,0,0,0,0,12.8,3.776,0,9.6,0,8.512,0,19.2,0,0,0,0
0.5,0.785398163397448,0,0,0,0,16,4.576,0,9.6,0,8.512,0,19.2,0,0,0,0
0.55,0.950331777710913,0,0,0,0,16,5.504,0,12.8,0,10.336,0,25.6,0,0,0,0
0.6,1.13097335529233,0,0.992,0,3.2,22.4,8.192,0,19.2,0,11.424,0,25.6,0,0,0,0
0.65,1.32732289614169,3.2,1.888,0,6.4,22.4,8.192,0,19.2,0,11.424,0,25.6,0,0,0,0
0.7,1.539380400259,6.4,2.624,0,6.4,22.4,8.192,0,19.2,0,12.608,0,25.6,0,0,0,0
0.75,1.76714586764426,6.4,2.624,0,6.4,28.8,11.104,0,22.4,0,12.608,0,25.6,0,0,0,0
0.8,2.01061929829747,6.4,2.624,0,6.4,32,11.936,0,22.4,0,16.224,0,35.2,0,0,0,0
0.85,2.26980069221863,9.6,3.52,0,9.6,32,13.44,0,25.6,0,17.984,3.2,35.2,0,0,0,0
0.9,2.54469004940773,9.6,3.52,0,9.6,35.2,14.08,0,25.6,0,20.416,3.2,35.2,0,0,0,0
0.95,2.83528736986479,9.6,3.52,0,9.6,38.4,15.68,0,28.8,0,23.072,3.2,41.6,0,0,0,0
1,3.14159265358979,9.6,3.52,0,9.6,38.4,16.48,0,28.8,0,27.648,3.2,48,0,0,0,0
1.05,3.46360590058275,9.6,3.52,0,9.6,38.4,19.04,0,32,0,32.128,6.4,48,0,1.056,0,3.2
1.1,3.80132711084365,9.6,3.52,0,9.6,38.4,19.808,0,35.2,0,37.472,6.4,57.6,12.8,6.4,0,16
1.15,4.1547562843725,9.6,3.52,0,9.6,44.8,23.36,6.4,38.4,0,41.184,9.6,64,16,7.424,0,16
1.2,4.5238934211693,9.6,3.52,0,9.6,44.8,25.28,9.6,41.6,0,43.04,9.6,67.2,19.2,8.224,0,19.2
1.25,4.90873852123405,9.6,3.52,0,9.6,48,27.328,9.6,44.8,0,43.04,9.6,67.2,19.2,9.056,0,19.2
1.3,5.30929158456675,12.8,4.352,0,9.6,48,27.328,9.6,44.8,0,43.936,9.6,70.4,19.2,9.056,0,19.2
1.35,5.7255526111674,12.8,5.12,0,12.8,48,28.288,9.6,44.8,0,44.544,9.6,70.4,22.4,10.496,0,25.6
1.4,6.157521601036,12.8,5.856,0,12.8,54.4,30.048,9.6,44.8,0,45.376,9.6,73.6,25.6,12.192,0,25.6
1.45,6.60519855417254,12.8,6.624,0,16,54.4,32.704,12.8,51.2,0,46.304,9.6,73.6,25.6,14.144,0,28.8
1.5,7.06858347057703,12.8,7.392,0,16,54.4,34.4,16,54.4,0,47.36,12.8,76.8,25.6,15.904,0,32
1.55,7.54767635024948,12.8,7.392,0,16,57.6,37.344,19.2,57.6,0,48.224,12.8,76.8,28.8,18.048,0,35.2
1.6,8.04247719318987,12.8,7.392,0,16,57.6,38.08,19.2,60.8,0,49.056,12.8,80,28.8,22.304,3.2,38.4
1.65,8.55298599939821,16,10.304,0,22.4,60.8,41.984,25.6,64,0,49.056,12.8,80,32,23.392,3.2,38.4
1.7,9.0792027688745,16,10.304,0,22.4,60.8,43.36,28.8,67.2,0,49.984,16,83.2,38.4,27.232,6.4,44.8
1.75,9.62112750161874,19.2,11.36,0,25.6,64,46.368,28.8,70.4,0,51.904,16,86.4,41.6,28.192,6.4,48
1.8,10.1787601976309,19.2,11.36,0,25.6,70.4,48.832,32,70.4,0,51.904,16,86.4,44.8,30.208,9.6,48
1.85,10.7521008569111,19.2,12.192,0,25.6,73.6,50.752,32,70.4,0,54.368,16,89.6,44.8,31.936,9.6,51.2
1.9,11.3411494794592,22.4,13.088,3.2,25.6,73.6,50.752,32,70.4,0,54.368,16,89.6,48,34.656,9.6,54.4
1.95,11.9459060652752,22.4,13.088,3.2,25.6,73.6,52.544,32,73.6,0,55.296,16,89.6,51.2,36.192,12.8,57.6
2,12.5663706143592,22.4,13.088,3.2,25.6,73.6,56.192,32,80,0,57.12,16,89.6,51.2,36.192,12.8,57.6
2.05,13.2025431267111,28.8,16.608,3.2,28.8,73.6,56.192,32,80,0,59.872,16,89.6,51.2,37.952,16,57.6
2.1,13.854423602331,28.8,17.376,3.2,28.8,76.8,58.912,32,83.2,0,59.872,16,89.6,57.6,41.312,19.2,60.8
2.15,14.5220120412188,28.8,17.376,3.2,28.8,80,60.832,35.2,86.4,0,60.832,16,89.6,57.6,43.808,19.2,67.2
2.2,15.2053084433746,28.8,19.328,3.2,32,80,61.888,35.2,86.4,0,62.56,16,89.6,64,48.672,22.4,70.4
2.25,15.9043128087983,32,20.128,3.2,35.2,80,61.888,35.2,86.4,0,62.56,16,89.6,64,50.56,22.4,73.6
2.3,16.61902513749,32,22.304,3.2,41.6,80,61.888,35.2,86.4,0,62.56,16,89.6,64,50.56,22.4,73.6
2.35,17.3494454294496,32,23.296,3.2,41.6,80,61.888,35.2,86.4,0,62.56,16,89.6,70.4,53.28,22.4,80
2.4,18.0955736846772,32,23.296,3.2,41.6,80,61.888,35.2,86.4,0,62.56,16,89.6,70.4,53.28,22.4,80
2.45,18.8574099031727,32,24.224,3.2,41.6,80,63.552,35.2,86.4,0,62.56,16,89.6,73.6,57.632,28.8,80
2.5,19.6349540849362,32,26.176,6.4,41.6,80,65.44,35.2,86.4,0,63.616,16,89.6,73.6,62.496,32,83.2
2.55,20.4282062299676,32,28.96,6.4,48,80,68.416,35.2,89.6,0,63.616,16,89.6,73.6,63.392,32,86.4
2.6,21.237166338267,35.2,30.624,6.4,51.2,80,68.416,35.2,89.6,0,63.616,16,89.6,73.6,66.816,32,89.6
2.65,22.0618344098343,35.2,30.624,6.4,51.2,80,68.416,35.2,89.6,0,63.616,16,89.6,76.8,67.68,32,92.8
2.7,22.9022104446696,35.2,30.624,6.4,51.2,80,68.416,35.2,89.6,0,64.608,16,92.8,76.8,68.576,32,96
2.75,23.7582944427728,35.2,30.624,6.4,51.2,80,69.568,38.4,89.6,0,65.568,16,92.8,76.8,68.576,32,96
